DateTime,CLOSE
2012-02-29,2943.445
2012-03-01,2950.118
2012-03-02,3004.724
2012-03-05,2996.008
2012-03-06,2957.477
2012-03-07,2938.741
2012-03-08,2978.285
2012-03-09,3015.739
2012-03-12,3017.148
2012-03-13,3047.039
2012-03-14,2939.647
2012-03-15,2912.907
2012-03-16,2969.033
2012-03-19,2990.095
2012-03-20,2932.541
2012-03-21,2938.38
2012-03-22,2931.922
2012-03-23,2887.495
2012-03-26,2886.869
2012-03-27,2877.95
2012-03-28,2776.021
2012-03-29,2733.407
2012-03-30,2737.201
2012-04-05,2811.069
2012-04-06,2824.326
2012-04-09,2794.769
2012-04-10,2823.859
2012-04-11,2829.664
2012-04-12,2886.758
2012-04-13,2903.378
2012-04-16,2902.518
2012-04-17,2864.525
2012-04-18,2929.285
2012-04-19,2924.667
2012-04-20,2954.358
2012-04-23,2922.326
2012-04-24,2911.868
2012-04-25,2943.039
2012-04-26,2940.104
2012-04-27,2926.836
2012-05-02,2979.694
2012-05-03,2990.597
2012-05-04,3015.884
2012-05-07,3026.91
2012-05-08,3021.787
2012-05-09,2967.797
2012-05-10,2972.471
2012-05-11,2952.357
2012-05-14,2936.583
2012-05-15,2934.811
2012-05-16,2893.028
2012-05-17,2936.009
2012-05-18,2890.434
2012-05-21,2896.938
2012-05-22,2940.529
2012-05-23,2931.775
2012-05-24,2908.337
2012-05-25,2879.712
2012-05-28,2922.591
2012-05-29,2965.028
2012-05-30,2962.261
2012-05-31,2957.274
2012-06-01,2955.832
2012-06-04,2867.402
2012-06-05,2866.419
2012-06-06,2861.283
2012-06-07,2845.283
2012-06-08,2828.696
2012-06-11,2871.921
2012-06-12,2854.21
2012-06-13,2902.557
2012-06-14,2882.038
2012-06-15,2887.291
2012-06-18,2908.077
2012-06-19,2886.106
2012-06-20,2877.219
2012-06-21,2835.268
2012-06-25,2769.358
2012-06-26,2766.748
2012-06-27,2758.886
2012-06-28,2729.538
2012-06-29,2767.827
2012-07-02,2783.993
2012-07-03,2789.573
2012-07-04,2781.86
2012-07-05,2733.35
2012-07-06,2783.525
2012-07-09,2717.87
2012-07-10,2699.772
2012-07-11,2722.597
2012-07-12,2753.279
2012-07-13,2747.579
2012-07-16,2669.988
2012-07-17,2687.484
2012-07-18,2695.346
2012-07-19,2715.881
2012-07-20,2692.548
2012-07-23,2660.152
2012-07-24,2675.53
2012-07-25,2656.744
2012-07-26,2638.343
2012-07-27,2632.714
2012-07-30,2600.721
2012-07-31,2580.403
2012-08-01,2615.484
2012-08-02,2593.601
2012-08-03,2628.529
2012-08-06,2675.802
2012-08-07,2689
2012-08-08,2686.008
2012-08-09,2716.334
2012-08-10,2706.727
2012-08-13,2651.257
2012-08-14,2664.73
2012-08-15,2636.574
2012-08-16,2620.765
2012-08-17,2616.542
2012-08-20,2612.8
2012-08-21,2637.7
2012-08-22,2617.647
2012-08-23,2629.531
2012-08-24,2589.796
2012-08-27,2533.084
2012-08-28,2546.603
2012-08-29,2525.708
2012-08-30,2504.941
2012-08-31,2504.764
2012-09-03,2539.721
2012-09-04,2514.302
2012-09-05,2518.498
2012-09-06,2542.345
2012-09-07,2644.542
2012-09-10,2661.057
2012-09-11,2647.719
2012-09-12,2661.142
2012-09-13,2630.404
2012-09-14,2642.745
2012-09-17,2572.489
2012-09-18,2553.313
2012-09-19,2570.365
2012-09-20,2503.592
2012-09-21,2497.758
2012-09-24,2515.738
2012-09-25,2504.283
2012-09-26,2461.833
2012-09-27,2528.33
2012-09-28,2574.136
2012-10-08,2556.069
2012-10-09,2617.136
2012-10-10,2631.23
2012-10-11,2600.438
2012-10-12,2599.425
2012-10-15,2586.188
2012-10-16,2592.094
2012-10-17,2596.876
2012-10-18,2638.112
2012-10-19,2632.659
2012-10-22,2643.565
2012-10-23,2612.122
2012-10-24,2607.514
2012-10-25,2585.733
2012-10-26,2535.047
2012-10-29,2525.492
2012-10-30,2529.281
2012-10-31,2542.544
2012-11-01,2589.821
2012-11-02,2601.467
2012-11-05,2593.897
2012-11-06,2579.625
2012-11-07,2575.57
2012-11-08,2521.681
2012-11-09,2515.233
2012-11-12,2529.768
2012-11-13,2482.908
2012-11-14,2491.714
2012-11-15,2454.236
